background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.6437651962,46.9002226474,4,8,-1.16942250728607,-1.78351664543152,-1.19013047218323,-1.52768337726593,-0.905436098575592,0.41654771566391
background,-121.6700972222,46.9084055556,6,9,1.85602307319641,-1.21182286739349,-1.26050388813019,1.6854852437973,0.407751470804214,-0.748983323574066
background,-121.6904888889,46.9063444444,6,9,2.90104222297668,-0.770683765411377,-1.37836885452271,-0.966926455497742,0.466828912496567,1.43703806400299
background,-121.7444682131,46.7733962286,2,2,0.880774199962616,0.226915881037712,2.4013090133667,-1.84341335296631,2.70869660377502,0.672455132007599
background,-121.7323156673,46.7922095345,2,2,2.56336331367493,0.172476038336754,2.87494015693665,-1.39358592033386,-0.319254070520401,-0.336718201637268
background,-121.8140506256,46.7529169692,1,6,-4.72719526290894,-0.580428957939148,1.12354302406311,0.860213816165924,-0.640571177005768,1.68153560161591
background,-121.73078553,46.7937112831,2,3,2.62916874885559,0.198354512453079,3.19916415214539,0.76394110918045,-0.867552280426025,-1.06104469299316
background,-121.6677340266,46.9176035284,2,9,1.40369212627411,-1.30945611000061,-1.55058670043945,0.724360167980194,-0.103617697954178,-0.0915544331073761
background,-121.6491340766,46.9188084368,2,3,0.979797720909119,-1.55759847164154,-1.69000005722046,0.738769054412842,2.14705419540405,0.0243286807090044
background,-121.6439841166,46.9152061222,2,9,0.581977963447571,-1.6728618144989,-1.61090576648712,-0.525950908660889,-0.75714236497879,1.26115524768829
background,-121.6428,46.9176,2,3,0.944838166236877,-1.69910228252411,-1.67804825305939,-0.786365926265717,-0.791192233562469,-1.33830583095551
background,-121.6528861111,46.9188611111,2,3,1.19405055046082,-1.49215745925903,-2.06883883476257,-1.9370025396347,1.59059870243073,-0.285569369792938
background,-121.8789416667,46.7611027778,1,4,-5.3307056427002,-0.201834738254547,0.686151266098022,-0.0472483932971954,-0.0681988075375557,1.64149487018585
background,-121.6395111111,46.9732305556,2,6,-2.78582787513733,-2.21894025802612,-1.46875107288361,-0.435402780771255,0.440243124961853,1.63533794879913
background,-121.6232222222,46.9893194444,2,6,-3.36348080635071,-2.68269848823547,-1.36065244674683,-0.50193065404892,-0.99633252620697,-0.466910511255264
background,-121.7226793269,46.7984997369,6,9,3.76485085487366,0.197984635829926,3.03059649467468,1.07067883014679,0.18585941195488,0.450543522834778
background,-121.7291416389,46.8052444444,6,9,4.8153977394104,0.0379450954496861,2.3890266418457,-1.06718838214874,0.861556053161621,0.373431503772736
background,-121.7190944444,46.7952194444,6,3,3.42380285263062,0.244957834482193,2.85201954841614,-0.66167151927948,0.984696567058563,0.686080038547516
background,-121.7328116667,46.7912716667,2,2,2.48670959472656,0.196693316102028,3.23685002326965,1.35489630699158,-0.443822532892227,-0.254176437854767
background,-121.7462166667,46.7742916667,2,9,0.141746535897255,0.2284145206213,2.8270366191864,-0.175081193447113,-0.478753000497818,1.56141257286072
background,-121.7806633333,46.7851416667,6,3,-0.633699297904968,0.034867849200964,2.78987979888916,-1.37196242809296,-0.889322578907013,1.17842423915863
background,-121.7814566474,46.7849702854,6,3,-0.818795025348663,-0.00488727679476142,2.99998879432678,-0.192331492900848,-1.59540379047394,1.26369905471802
background,-121.7366716667,46.7910716667,2,2,2.60344576835632,0.146832764148712,2.55084824562073,-0.775978446006775,1.08843576908112,-1.50814092159271
background,-121.7343533333,46.8021283333,6,2,3.84519410133362,-0.0433019921183586,2.73339557647705,-0.330211222171783,0.155989095568657,0.404694557189941
background,-121.8661716667,46.9351083333,6,4,-0.607773184776306,3.36685562133789,-0.804862856864929,1.36377429962158,-1.01560091972351,-0.47113910317421
background,-121.728705,46.7926616667,6,3,2.50664758682251,0.311728328466415,2.88515496253967,-0.603451013565063,0.764505088329315,-1.18291580677032
background,-121.6376888889,46.7684333333,2,3,-4.42322587966919,-2.68933010101318,0.528114318847656,-1.81079065799713,-0.595241487026215,-0.438155174255371
background,-121.7397916667,46.7927138889,6,2,2.73094820976257,0.139230281114578,2.55136108398438,-1.75339889526367,0.499665975570679,0.0276185777038336
background,-121.7400194444,46.7930333333,6,2,2.68481922149658,0.100501000881195,2.63042521476746,-1.00577211380005,1.17731034755707,1.51346433162689
background,-121.7414866667,46.7842333333,6,2,2.15757822990417,0.18440979719162,2.71548104286194,-2.24248027801514,-0.364763110876083,0.876962006092072
background,-121.64373,46.9171216667,2,9,0.848088800907135,-1.73071753978729,-1.28199279308319,1.78818070888519,-0.967091917991638,-0.414211511611938
background,-121.7264027778,46.8059888889,6,9,4.96386289596558,0.0300008878111839,2.6183545589447,0.439082533121109,0.72850489616394,0.986012756824493
