background,x,y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
background,-121.6430477053,46.9028756085,4,3,-1.33321750164032,-1.7645810842514,-0.956223130226135,1.66568970680237,-0.910463452339172,1.57408797740936
background,-121.6337964311,46.9187283294,2,3,0.988325357437134,-1.82572209835052,-1.83877563476562,-1.55853021144867,0.845372378826141,-1.26564145088196
background,-121.7595893198,46.777765678,2,9,0.0211828276515007,0.134701892733574,3.03598475456238,0.912958800792694,-0.998908877372742,0.554142534732819
background,-121.7337086198,46.7879350421,2,2,2.21652030944824,0.220340222120285,3.11942458152771,0.936999261379242,-0.504747211933136,-1.36449813842773
background,-121.7327543709,46.7913990422,2,2,2.48039507865906,0.202357843518257,2.96837282180786,-0.24831847846508,-0.450746357440948,-1.55351758003235
background,-121.72957,46.794525,6,3,2.59054231643677,0.259615570306778,3.10782599449158,1.13696849346161,-0.609477758407593,-1.31018877029419
background,-121.6659066987,46.9184095306,2,9,1.32140147686005,-1.37089669704437,-1.65226233005524,-0.302862465381622,-0.707753479480743,0.167077168822289
background,-121.6654246911,46.9183577365,2,9,1.33339273929596,-1.34448194503784,-1.7266674041748,-0.63161039352417,-0.72713303565979,-1.10716259479523
background,-121.6526355444,46.9188084727,2,3,1.19663608074188,-1.49353992938995,-1.99539351463318,-1.48386573791504,1.48676872253418,-0.261300802230835
background,-121.6436549577,46.9164461545,2,9,0.804866254329681,-1.67084133625031,-1.50881564617157,-0.301679253578186,-0.797335624694824,1.76355338096619
background,-121.6609333333,46.9155611111,2,9,0.822445511817932,-1.38865649700165,-1.59540116786957,-0.299594551324844,-1.44882357120514,-0.976474940776825
background,-121.6558388889,46.9157555556,2,9,0.607448518276215,-1.53246986865997,-1.78846156597137,-1.47216260433197,-1.2380690574646,-1.10981106758118
background,-121.6241777778,46.9882166667,2,6,-3.31957221031189,-2.68000650405884,-1.43024718761444,-1.1967658996582,-0.78950423002243,1.015709400177
background,-121.9412566256,46.7651813664,1,6,-3.81116342544556,1.00310206413269,0.70106965303421,0.408543586730957,-0.298255234956741,-0.397315442562103
background,-121.7538222222,46.7751805556,2,2,0.0792156532406807,0.173182457685471,3.03025484085083,1.04484570026398,-0.713905811309814,1.57389962673187
background,-121.7384722222,46.7824027778,2,2,1.73283004760742,0.174326196312904,2.75531411170959,-1.76649129390717,-0.566236615180969,1.42166233062744
background,-121.6650611111,46.9192305556,2,9,1.22535836696625,-1.36375296115875,-1.41593527793884,1.23788487911224,-2.174311876297,0.00421640416607261
background,-121.7808791343,46.7920878623,6,3,0.417729437351227,-0.030868211761117,3.05371522903442,1.25853800773621,-1.12085115909576,0.0792005285620689
background,-121.7814566474,46.7849702854,6,3,-0.818795025348663,-0.00488727679476142,2.99998879432678,-0.192331492900848,-1.59540379047394,1.26369905471802
background,-121.7271116667,46.7837616667,2,3,1.55993318557739,0.284805715084076,3.1137318611145,-0.128818720579147,-0.286526024341583,1.21390664577484
background,-121.6378555556,46.7683833333,2,3,-4.33003854751587,-2.71320033073425,0.488056689500809,-2.33569550514221,-0.693914592266083,-0.600229978561401
background,-121.6366113873,46.7674228482,2,3,-4.18941497802734,-2.71384215354919,0.600499093532562,-2.06802868843079,-0.263726830482483,0.7562615275383
background,-121.6371733837,46.7674740306,2,3,-4.31822872161865,-2.69441390037537,0.540151059627533,-2.35444617271423,-0.663725256919861,0.470040082931519
background,-121.5447226938,46.8949995468,4,6,-2.57577610015869,-3.17621064186096,-1.01320576667786,0.596916675567627,-0.0710564851760864,0.735109329223633
background,-121.7355295179,46.7978486605,6,2,3.38083171844482,0.0750202238559723,2.5778660774231,-1.70274972915649,-0.052613127976656,-1.43369257450104
