species,X,Y,Soil-Type,Lithology,PC1,PC2,PC3,PC4,PC5,PC6
Pedicularis.rainierensis_PA5_RUN2,-121.5843102321,46.9193935868,2,3,-0.435592979192734,-2.059237241745,-1.73554253578186,-1.29148995876312,0.425131410360336,-1.53247702121735
Pedicularis.rainierensis_PA5_RUN2,-121.82097,46.9216466667,6,9,2.14906978607178,3.378981590271,-0.983006238937378,2.20808267593384,-0.149332016706467,1.10090708732605
Pedicularis.rainierensis_PA5_RUN2,-121.83417549,46.9223976,6,9,1.24101579189301,3.73286366462708,-0.948380827903748,1.92052042484283,-1.23844063282013,-0.471835672855377
Pedicularis.rainierensis_PA5_RUN2,-121.83773364,46.92076699,6,9,0.987441599369049,3.61904907226562,-0.92934250831604,1.91786122322083,-0.925981938838959,-0.253293097019196
Pedicularis.rainierensis_PA5_RUN2,-121.83960888,46.91898767,6,9,0.568300366401672,3.67953562736511,-1.05053579807281,1.11620831489563,-0.456273972988129,-0.801815211772919
Pedicularis.rainierensis_PA5_RUN2,-121.84012,46.9189716667,6,9,0.442226439714432,3.59801316261292,-0.867870032787323,2.37139081954956,-0.68428236246109,0.35495325922966
Pedicularis.rainierensis_PA5_RUN2,-121.5915366667,46.9513633333,2,6,-0.0861580073833466,-1.6959536075592,-1.55102562904358,2.54816555976868,1.31123387813568,0.524035274982452
Pedicularis.rainierensis_PA5_RUN2,-121.5921033333,46.93237,2,6,-0.577222645282745,-2.00715160369873,-1.75115251541138,-0.646828711032867,-0.618439495563507,-1.6288560628891
Pedicularis.rainierensis_PA5_RUN2,-121.5948633333,46.9276166667,2,3,-0.586066842079163,-2.10959386825562,-1.6892774105072,-1.12157332897186,-0.954220473766327,-1.09259188175201
Pedicularis.rainierensis_PA5_RUN2,-121.58448,46.9194533333,2,3,-0.472937077283859,-2.05600118637085,-1.65935850143433,-0.915094077587128,0.200735330581665,-1.64793574810028
Pedicularis.rainierensis_PA5_RUN2,-121.83947,46.7928116667,6,6,1.05197966098785,0.239572733640671,2.19109225273132,-0.216234490275383,-0.863682687282562,0.758782565593719
Pedicularis.rainierensis_PA5_RUN2,-121.771575,46.8039083333,6,9,3.10277128219604,-0.250496953725815,2.25009441375732,-1.46269512176514,1.51601243019104,1.28708076477051
Pedicularis.rainierensis_PA5_RUN2,-121.8828075254,46.9565057964,6,3,0.36624950170517,3.81425547599792,-1.19594168663025,0.630793929100037,1.1340240240097,-0.532618165016174
Pedicularis.rainierensis_PA5_RUN2,-121.6565360616,46.9114973258,2,9,0.353014886379242,-1.4690750837326,-1.47591125965118,0.868446230888367,-0.544039845466614,0.707732558250427
Pedicularis.rainierensis_PA5_RUN2,-121.8353853935,46.785160387,6,4,0.128247767686844,0.177539393305779,1.7352933883667,-2.12612438201904,-1.00741541385651,0.959078252315521
Pedicularis.rainierensis_PA5_RUN2,-121.6838383333,46.9170416667,6,1,0.979538083076477,-1.10460758209229,-1.65152215957642,-0.845734298229218,0.130947455763817,1.53420495986938
Pedicularis.rainierensis_PA5_RUN2,-121.83963833,46.919125,6,9,0.555529057979584,3.66377758979797,-0.939666867256165,1.848872423172,-0.709004700183868,-0.238658517599106
Pedicularis.rainierensis_PA5_RUN2,-121.7218033333,46.7771216667,6,9,1.51267576217651,0.252533614635468,2.78734540939331,-0.171759307384491,0.166952297091484,1.34738838672638
Pedicularis.rainierensis_PA5_RUN2,-121.68783392,46.91764799,6,1,0.741158366203308,-0.998202383518219,-1.17692494392395,1.65389955043793,-1.21834635734558,-0.536104619503021
Pedicularis.rainierensis_PA5_RUN2,-121.6886614357,46.917875167,6,1,0.696313738822937,-1.03711807727814,-1.5753082036972,-1.18514406681061,-0.857983708381653,1.06379270553589
Pedicularis.rainierensis_PA5_RUN2,-121.65287,46.92101,2,3,0.883927285671234,-1.51124954223633,-1.75573909282684,-1.25628793239594,-1.33381652832031,-1.13306570053101
Pedicularis.rainierensis_PA5_RUN2,-121.87812,46.835564,6,4,1.28776431083679,1.4270852804184,1.12130916118622,-0.829661071300507,0.665262281894684,-1.09616208076477
Pedicularis.rainierensis_PA5_RUN2,-121.863756,46.933689,6,4,-0.577642858028412,3.33911800384521,-0.87775456905365,0.690453290939331,-1.15913581848145,-0.924048960208893
Pedicularis.rainierensis_PA5_RUN2,-121.83528,46.79361,6,6,1.02747583389282,0.274790495634079,2.26964259147644,0.922477304935455,-0.192125007510185,0.528271794319153
Pedicularis.rainierensis_PA5_RUN2,-121.783607,46.80076,6,9,2.52843928337097,-0.190585255622864,2.03351163864136,-1.33922469615936,5.71690893173218,-0.185181364417076
Pedicularis.rainierensis_PA5_RUN2,-121.838894,46.79231,6,6,0.843999743461609,0.224750161170959,1.98766732215881,-1.29302299022675,-0.888653457164764,0.247862935066223
Pedicularis.rainierensis_PA5_RUN2,-121.785772,46.796507,6,9,1.61896216869354,-0.305856317281723,2.61866784095764,1.01769709587097,-0.348558872938156,1.51426362991333
Pedicularis.rainierensis_PA5_RUN2,-121.838672,46.792253,6,6,0.802459836006165,0.244990617036819,2.33420920372009,1.19104564189911,-1.26384830474854,-0.201209753751755
Pedicularis.rainierensis_PA5_RUN2,-121.754358,46.914064,6,1,1.62526106834412,1.00442731380463,-0.643486559391022,-1.09835696220398,-0.694468438625336,-1.30778300762177
Pedicularis.rainierensis_PA5_RUN2,-121.794544,46.923996,6,9,2.19592475891113,2.70389819145203,-0.790468454360962,0.0546509884297848,-0.329326987266541,-0.0435948744416237
Pedicularis.rainierensis_PA5_RUN2,-121.86258,46.942928,6,4,-0.53305459022522,3.494708776474,-1.28289091587067,-0.90208488702774,0.162910789251328,-0.40956249833107
Pedicularis.rainierensis_PA5_RUN2,-121.75476,46.914502,6,1,1.54713428020477,0.96759420633316,-0.620446145534515,-0.746247231960297,-0.289736896753311,1.4606945514679
Pedicularis.rainierensis_PA5_RUN2,-121.836714,46.916791,6,9,0.624363362789154,3.65625166893005,-1.2448456287384,-0.894201278686523,-0.617118835449219,1.43080580234528
Pedicularis.rainierensis_PA5_RUN2,-121.65743,46.91647,2,9,0.828048348426819,-1.48247456550598,-1.4593608379364,0.35511314868927,-0.963115215301514,1.01980376243591
Pedicularis.rainierensis_PA5_RUN2,-121.76833,46.91583,6,3,2.21679306030273,1.6680371761322,-0.62126612663269,0.730339586734772,1.59881639480591,1.61657166481018
Pedicularis.rainierensis_PA5_RUN2,-121.7625,46.852778,6,10,15.0942840576172,-3.10774302482605,-4.19114828109741,2.71873831748962,-1.67362976074219,0.779549300670624
